City,Temperature (°C),Humidity (%),Wind Speed (m/s),Timestamp
Delhi,20.78,19,1.74,2025-03-09 03:02:51.811801
Mumbai,26.84,59,2.29,2025-03-09 03:02:52.436597
Bangalore,19.82,54,3.59,2025-03-09 03:02:53.001810
Hyderabad,23.72,17,2.12,2025-03-09 03:02:53.553671
Chennai,25.5,65,2.62,2025-03-09 03:02:54.182687
Kolkata,21.75,89,2.38,2025-03-09 03:02:55.296758
Pune,23.74,26,0.21,2025-03-09 03:02:55.910574
Jaipur,17.79,24,1.63,2025-03-09 03:02:56.495301
Ahmedabad,26.12,24,0.85,2025-03-09 03:02:57.214781
Lucknow,18.14,22,1.12,2025-03-09 03:02:57.717370
Chandigarh,16.07,36,2.38,2025-03-09 03:02:58.267304
Bhopal,21.53,20,2.59,2025-03-09 03:02:58.882089
Indore,22.07,25,1.68,2025-03-09 03:02:59.379425
Patna,17.87,28,2.7,2025-03-09 03:02:59.949152
Surat,25.36,60,1.48,2025-03-09 03:03:00.561336
Nagpur,23.4,21,2.79,2025-03-09 03:03:01.144063
Kochi,26.36,81,2.27,2025-03-09 03:03:01.630164
Bhubaneswar,21.73,93,2.2,2025-03-09 03:03:02.117918
Guwahati,17.28,34,1.6,2025-03-09 03:03:02.606156
Dehradun,15.21,43,2.73,2025-03-09 03:03:03.113959
